name,activation,solver,hidden_layer_sizes,alpha,learning_rate_init,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_weighted_f1,mean_n_train_original,mean_n_train_augmented,std_macro_f1,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,oof_weighted_f1
"relu_adam__hls-(100,)__alpha-0.0001__lr-0.001",relu,adam,"(100,)",0.0001,0.001,0.7632861713374207,0.7599143114527507,0.6932317364163185,0.7674383194758072,6742.222222222223,9685.333333333334,0.07681185043065207,0.7705998681608438,0.77470435997575,0.7669523133787082,0.7675326522795592
"relu_adam__hls-(64,32)__alpha-0.0001__lr-0.0005",relu,adam,"(64, 32)",0.0001,0.0005,0.7661467183985613,0.7631896866738082,0.694412046368094,0.7701850048939506,6742.222222222223,9685.333333333334,0.07416811513559952,0.7708635464733026,0.7757001232397653,0.7668764200900786,0.7680110560886759
"tanh_adam__hls-(128,)__alpha-0.001__lr-0.0005",tanh,adam,"(128,)",0.001,0.0005,0.763033598295429,0.7557622409196088,0.6941524799356844,0.7688107255432045,6742.222222222223,9685.333333333334,0.0836923858815316,0.7694133157547791,0.7762127778437488,0.7667344720303055,0.766484864438855
"tanh_adam__hls-(128,)__alpha-0.0001__lr-0.0005",tanh,adam,"(128,)",0.0001,0.0005,0.7627544246494212,0.7549548662159867,0.693805843464493,0.7685274189932737,6742.222222222223,9685.333333333334,0.08428257163322993,0.7692814765985497,0.7761992661820352,0.7665778947739231,0.7664108958532668
"tanh_adam__hls-(64,)__alpha-1e-05__lr-0.0005",tanh,adam,"(64,)",1e-05,0.0005,0.7613381673861687,0.7563242794929174,0.693445635800803,0.7664949712376798,6742.222222222223,9685.333333333334,0.08624754719615292,0.7691496374423203,0.7783004060307734,0.76652322888591,0.7661244339816056
"tanh_adam__hls-(64,)__alpha-0.0001__lr-0.0005",tanh,adam,"(64,)",0.0001,0.0005,0.7613381673861687,0.7563242794929174,0.693445635800803,0.7664949712376798,6742.222222222223,9685.333333333334,0.08624754719615292,0.7691496374423203,0.7783004060307734,0.76652322888591,0.7661244339816056
"tanh_adam__hls-(64,)__alpha-0.001__lr-0.0005",tanh,adam,"(64,)",0.001,0.0005,0.7606371917385785,0.759030284304182,0.6935188722731139,0.7657151525258299,6742.222222222223,9685.333333333334,0.08625255598907469,0.7682267633487145,0.7790545343252598,0.7659620201569386,0.765103693498563
"tanh_adam__hls-(100,)__alpha-1e-05__lr-0.0005",tanh,adam,"(100,)",1e-05,0.0005,0.7614547273936757,0.74714974888734,0.6883605878193215,0.766393303403961,6742.222222222223,9685.333333333334,0.08025008560735707,0.7691496374423203,0.7766513775363701,0.7650357258410908,0.765574667204485
"tanh_adam__hls-(100,)__alpha-0.0001__lr-0.0005",tanh,adam,"(100,)",0.0001,0.0005,0.7614547273936757,0.74714974888734,0.6883605878193215,0.766393303403961,6742.222222222223,9685.333333333334,0.08025008560735707,0.7691496374423203,0.7766513775363701,0.7650357258410908,0.765574667204485
"tanh_adam__hls-(100,)__alpha-0.001__lr-0.0005",tanh,adam,"(100,)",0.001,0.0005,0.7612644686417731,0.7464871039191395,0.6882212598029288,0.766334492534632,6742.222222222223,9685.333333333334,0.08020420446155838,0.769017798286091,0.7763519902524304,0.7649874150970817,0.7655270036847858
"relu_adam__hls-(128,64,32)__alpha-0.0001__lr-0.001",relu,adam,"(128, 64, 32)",0.0001,0.001,0.763126346616228,0.7580419452867353,0.7035474799528993,0.76874306546597,6742.222222222223,9685.333333333334,0.09967116851975703,0.7711272247857613,0.7688193461953357,0.7646713196494257,0.7676344484367317
"relu_adam__hls-(128,64,32)__alpha-1e-05__lr-0.001",relu,adam,"(128, 64, 32)",1e-05,0.001,0.7627578168158322,0.7586205899466559,0.7004940414924915,0.7686637347587763,6742.222222222223,9685.333333333334,0.09854613427011587,0.7707317073170732,0.7692464032495823,0.7644728587091005,0.7671660246330884
"tanh_adam__hls-(100,)__alpha-1e-05__lr-0.0001",tanh,adam,"(100,)",1e-05,0.0001,0.7585427318787656,0.764522017972215,0.6809595509547708,0.7622766683852911,6742.222222222223,9685.333333333334,0.07801802596284638,0.7624258404746209,0.7988857023179735,0.7622327043895194,0.756631526439797
"tanh_adam__hls-(100,)__alpha-0.0001__lr-0.0001",tanh,adam,"(100,)",0.0001,0.0001,0.7585427318787656,0.764522017972215,0.6809595509547708,0.7622766683852911,6742.222222222223,9685.333333333334,0.07801802596284638,0.7624258404746209,0.7988857023179735,0.7622327043895194,0.756631526439797
"tanh_adam__hls-(100,)__alpha-0.001__lr-0.0001",tanh,adam,"(100,)",0.001,0.0001,0.7585427318787656,0.764522017972215,0.6809595509547708,0.7622766683852911,6742.222222222223,9685.333333333334,0.07801802596284638,0.7624258404746209,0.7988857023179735,0.7622327043895194,0.756631526439797
"tanh_adam__hls-(64,32)__alpha-0.0001__lr-0.0001",tanh,adam,"(64, 32)",0.0001,0.0001,0.7592541557290642,0.745377270307779,0.6858728518784027,0.763654035819463,6742.222222222223,9685.333333333334,0.0875570468462797,0.765062623599209,0.7855610622318313,0.7620941778643682,0.759999464671139
"tanh_adam__hls-(64,32)__alpha-0.001__lr-0.0001",tanh,adam,"(64, 32)",0.001,0.0001,0.7592541557290642,0.745377270307779,0.6858728518784027,0.763654035819463,6742.222222222223,9685.333333333334,0.0875570468462797,0.765062623599209,0.7855610622318313,0.7620941778643682,0.759999464671139
"tanh_adam__hls-(64,32)__alpha-1e-05__lr-0.0001",tanh,adam,"(64, 32)",1e-05,0.0001,0.7592541557290642,0.7456150331013333,0.6854343073353566,0.7635720198196401,6742.222222222223,9685.333333333334,0.08724692363580157,0.765062623599209,0.7858721537569389,0.7618041359333904,0.7598028897190628
