fold,heldout_log,n_train,n_val,n_iter,accuracy,balanced_accuracy,macro_f1,weighted_f1,final_loss
1,rep_bed-to-lavatory,3862,315,38,0.7619047619047619,0.7471991136906682,0.5614519840938669,0.7660554633357594,0.35973262833146047
2,rep_bed_tv,3545,632,53,0.7958860759493671,0.719341102177151,0.7594727236047233,0.7903311354611352,0.36922349058412207
3,rep_dinning,3404,773,43,0.7839586028460543,0.724225816980403,0.7446820682975864,0.7804732519756756,0.36203814003860346
4,rep_kitchen-long,3432,745,25,0.7932885906040269,0.7010756019376708,0.7418568276175163,0.7871892297094029,0.38444886393876604
5,rep_kitchen-short,3739,438,23,0.773972602739726,0.5819078283079082,0.6232333931183662,0.7623984105795257,0.3831662147120621
6,rep_waiting_room,3736,441,23,0.764172335600907,0.6526037169524279,0.6925141744243755,0.7557125304615802,0.3752579311043611
7,rep_wc,3344,833,35,0.787515006002401,0.7402094246852311,0.7501056257292781,0.7847848533162586,0.3730709492653376
