fold,heldout_log,n_train_original,n_train_augmented,n_val,n_iter,accuracy,balanced_accuracy,macro_f1,weighted_f1,final_loss
1,rep_bed-to-lavatory,5354,7596,398,88,0.7336683417085427,0.7482983811626195,0.5652338525262113,0.7523813028988406,0.2554342881780871
2,rep_bed_tv,4855,6972,897,58,0.8060200668896321,0.8026104792335985,0.8013183205135981,0.8043002830374618,0.2866553939532236
3,rep_dinning,4674,6672,1078,42,0.7708719851576994,0.7981534937906931,0.7610061916426658,0.7701433233008871,0.2919608345611073
4,rep_kitchen-long,4739,6720,1013,81,0.7818361303060217,0.7817862866968395,0.7431221223418625,0.7807162473129731,0.2559448312505955
5,rep_kitchen-short,5165,7332,587,70,0.7802385008517888,0.7752111069181987,0.7219231275154762,0.7814084784434928,0.26574967769235947
6,rep_waiting_room,5168,7320,584,80,0.7654109589041096,0.7883201058201058,0.7596145747487469,0.7639811991048108,0.2639995895702714
7,rep_wc,4557,6588,1195,97,0.8117154811715481,0.7791325123493306,0.7855399593662066,0.8097694391008541,0.2544594861519594
