fold,heldout_log,n_train,n_val,n_iter,accuracy,balanced_accuracy,macro_f1,weighted_f1,final_loss
1,rep_bed-to-lavatory,3237,266,46,0.7556390977443609,0.6925648654701346,0.5349173630325867,0.7582591752807025,0.3755367697869834
2,rep_bed_tv,2972,531,37,0.7645951035781544,0.644209406823972,0.6891093378373466,0.7566954304911664,0.38760921007107857
3,rep_dinning,2856,647,34,0.7666151468315301,0.6786320075931539,0.6968669584499567,0.7617312253287198,0.39401416990390964
4,rep_kitchen-long,2880,623,34,0.7592295345104334,0.6410329120272256,0.6542433339527426,0.7526692802159508,0.38555189380832944
5,rep_kitchen-short,3136,367,34,0.7602179836512262,0.5941151449003741,0.6375336709170734,0.7484132644372918,0.3873567877294923
6,rep_waiting_room,3134,369,30,0.7452574525745257,0.6137514384349827,0.6430767060535031,0.7370201378609395,0.3919010730936346
7,rep_wc,2803,700,35,0.7728571428571429,0.6757453654168659,0.706529726173347,0.7668358927928423,0.39077591916023835
