name,activation,solver,n_iter,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,final_loss
relu_adam,relu,adam,66,0.9381443298969072,0.941422305764411,0.9344362943973724,0.9380045359620525,0.18960237569082072
tanh_adam,tanh,adam,51,0.9175257731958762,0.9215977443609022,0.9159521203117262,0.9168097395769937,0.23149851771835392
tanh_sgd,tanh,sgd,98,0.8865979381443299,0.8960025062656641,0.8867732710984655,0.8849667464955187,0.3343318868721404
relu_sgd,relu,sgd,75,0.865979381443299,0.8281704260651629,0.846585859323051,0.8620376821437093,0.518192273023555
